timestamp,x,y,raw_x,raw_y
1741945286017,432.8000,427.0000,395.0000,390.0000
1741945286044,429.2000,423.2000,392.0000,387.0000
1741945286071,412.8000,407.2000,371.0000,367.0000
1741945286093,401.0000,396.0000,378.0000,375.0000
1741945286121,379.4000,375.4000,361.0000,358.0000
1741945286155,380.2000,376.2000,399.0000,394.0000
1741945286183,392.2000,387.8000,452.0000,445.0000
1741945286219,405.6000,400.6000,438.0000,431.0000
1741945286253,423.8000,417.8000,469.0000,461.0000
1741945286282,425.8000,419.8000,371.0000,368.0000
1741945286317,450.2000,443.2000,521.0000,511.0000
1741945286349,451.2000,444.4000,457.0000,451.0000
1741945286382,466.0000,458.4000,512.0000,501.0000
1741945286417,455.8000,448.8000,418.0000,413.0000
1741945286449,484.4000,476.0000,514.0000,504.0000
1741945286483,487.2000,478.6000,535.0000,524.0000
1741945286517,481.6000,473.4000,429.0000,425.0000
1741945286550,465.8000,458.8000,433.0000,428.0000
1741945286583,459.8000,453.4000,388.0000,386.0000
1741945286616,431.2000,426.6000,371.0000,370.0000
1741945286651,402.4000,399.4000,391.0000,388.0000
1741945286684,398.4000,395.8000,409.0000,407.0000
1741945286712,393.6000,391.6000,409.0000,407.0000
1741945286734,389.8000,388.2000,369.0000,369.0000
1741945286762,399.8000,397.8000,421.0000,418.0000
1741945286788,413.4000,411.0000,459.0000,454.0000
1741945286814,425.0000,421.8000,467.0000,461.0000
1741945286848,434.0000,430.4000,454.0000,450.0000
1741945286874,450.0000,445.4000,449.0000,444.0000
1741945286917,452.6000,447.4000,434.0000,428.0000
1741945286948,443.0000,438.0000,411.0000,407.0000
1741945286976,434.2000,429.6000,423.0000,419.0000
1741945287003,430.4000,425.6000,435.0000,430.0000
1741945287031,440.6000,435.0000,500.0000,491.0000
1741945287058,431.6000,426.6000,389.0000,386.0000
1741945287084,455.4000,449.4000,530.0000,521.0000
1741945287112,474.2000,467.0000,517.0000,507.0000
1741945287142,468.0000,461.0000,404.0000,400.0000
